sha1,Normalized_Tag
3b80a13199564e3d8a9d26e14defabee136638f8,apt28
ca4e4cf982c9abd5508a5d8ce87a04c4ea7aa403,apt28
90e91472312d630cf93f97289e37eab871e8a818,apt32
78855f80648b42c6b426b2ed73804319ed759f59,apt32
09388f2801f2484094b950c877a4e4d1235e8571,apt32
6a8d20cf325b766e69f6133b3a7325034b76948c,apt32
eb06f2a5ac88058c2f921e98b7377b12d9293c12,apt32
e1d21443cba055fc4413c4adaeccd9a1fec60d79,apt32
09af2ff14c2d77fa3168b0ee95219bbb35d0ffd2,apt36
d60accd6488d21fe10dbff566bfee113c4979dfa,apt36
e33ea8b36b841c6ef2703172c96148defce65458,apt36
7dea0506cff8f5d2d0c60a780c855da5df20a013,apt36
d50c30ca2b06f8d1a57dfc83e4b9891c711ca932,apt36
bcef7d3ca12afa877467efc078d9c80c0ea5d242,apt36
4890bdfa16781fdad38ac0446106e1b892efd9b6,apt36
3d0d953b8469d0c138f8cb46532c1897c4ca8543,apt36
68056493bc4e2089f391f0ffce6fdbb2f86effab,apt36
1f9a48ab60d15b292307b97e954b5cc3b4e91c31,apt36
8d2d4bc0222730ab47c442f2910982a57ba95421,apt36
1e072b47b38bf8da2633452eaf13ec2f3302e37e,apt36
b4760af337e8d014bafc61c5a5fbd6f0cde623a7,apt36
2c6cc71b7e7e4b28c2c176b504bc5bdb687c4d41,apt37
a4933676e28dd47d685edeb8dd5be4533cd0f77d,apt38
792afe735d6d356fd30d2e7d0a693e3906decca7,apt38
fc4e129e63736f10edf9427e7c89e8e454697871,bitter
ea8505f2ca7751ddd903f1c9dbe38fb1c1124d91,bitter
1d56efe9744f72cb02cee26dad937796d53fb752,bitter
02dd360d10d091b3985b0d21b559b15b834fd066,donot
0559c07b81a6816a816d461c6b2e292a9291f139,donot
2f09d4bec51ae223b3e4b93313f3566dc93a84d9,patchwork
0d6418502f780bf12956d16de1d5d2e67a2013fd,patchwork
f36a4e7a30d9e4aeed43ed54cb179feab85d2f46,patchwork
70b1ab2d844278692798622f520b4153fd74fb36,patchwork
3721f0e042ecddc713e8899a34b873c9950e0995,patchwork
bd924b5c3d21a93442e02c2934c2ee3b53bc113b,patchwork
12a57102b4a09eb407c6ea1f818e5f93b3b082e2,patchwork
